frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
183,61.0576,60.70624,49.99976,225.7997,121.875244,2073600,0.3540837,38.076355,397.6747,0.09574749
184,61.9476,61.60752,49.999794,225.7992,121.880455,2073600,0.35408396,38.07585,397.67944,0.09574508
185,59.8504,59.505824,49.999943,225.8109,121.889626,2073600,0.35408425,38.07537,397.70047,0.09573881
186,60.2049,59.821632,49.99965,225.8088,121.89099,2073600,0.35408452,38.07489,397.69946,0.095737845
187,60.0127,59.652096,49.99992,225.81119,121.89468,2073600,0.35408485,38.07473,397.70578,0.095735915
188,60.3726,60.031936,49.999847,225.80925,121.894485,2073600,0.35408515,38.074516,397.70355,0.095735915
189,61.3693,60.987392,49.999622,225.81888,121.90389,2073600,0.35408545,38.073822,397.7224,0.09572965
190,62.1402,61.807456,49.999565,225.82045,121.909676,2073600,0.35408574,38.073563,397.72968,0.095727235
191,61.7993,61.455904,49.99955,225.81601,121.90772,2073600,0.354086,38.073914,397.72327,0.09572965
192,60.6408,60.29952,49.999763,225.81126,121.90581,2073600,0.35408637,38.073677,397.71686,0.09573061
193,60.5511,60.195616,49.99961,225.81326,121.909515,2073600,0.35408664,38.07325,397.72238,0.0957282
194,62.1501,61.730816,50.0,225.8218,121.91865,2073600,0.35408697,38.07287,397.74042,0.0957229
195,61.0956,60.691872,49.99994,225.81439,121.91815,2073600,0.35408723,38.072487,397.73248,0.09572386
196,60.709,60.18048,49.999832,225.81549,121.92149,2073600,0.3540875,38.07214,397.73682,0.09572193
197,61.3071,61.013536,49.999683,225.823,121.92925,2073600,0.3540878,38.071667,397.75195,0.09571711
198,60.0122,59.62736,49.999466,225.81444,121.927765,2073600,0.35408807,38.07145,397.74167,0.09571904
199,61.4266,61.048832,49.9994,225.80267,121.92569,2073600,0.35408837,38.07089,397.72775,0.09572097
200,63.0473,62.608384,49.999683,225.79994,121.925156,2073600,0.3540887,38.070793,397.7248,0.09572145
201,59.7738,59.41248,49.999798,225.7963,121.92844,2073600,0.35408896,38.070004,397.72452,0.095719524
202,62.1923,61.839744,49.9997,225.80177,121.9352,2073600,0.35408923,38.069244,397.7367,0.095714696
203,60.0142,59.5968,49.999596,225.79085,121.92806,2073600,0.3540895,38.069233,397.7185,0.09571904
204,61.9036,61.478496,49.99959,225.79033,121.92875,2073600,0.3540898,38.069057,397.71866,0.095718555
205,63.8065,63.379744,49.999516,225.80049,121.931244,2073600,0.3540901,38.0693,397.73126,0.09571615
206,61.1118,60.7744,49.999622,225.81213,121.94133,2073600,0.3540904,38.0689,397.7531,0.095709875
207,61.0749,60.71296,49.999683,225.81738,121.9448,2073600,0.35409072,38.06878,397.76187,0.09570747
208,59.9387,59.609088,49.999588,225.81708,121.94676,2073600,0.35409105,38.068546,397.76343,0.0957065
209,60.1507,59.834368,49.999607,225.83041,121.957436,2073600,0.35409135,38.067966,397.78745,0.095699266
210,60.8518,60.529536,49.99962,225.83466,121.96459,2073600,0.35409164,38.06695,397.7989,0.09569396
211,60.7862,60.46624,49.99947,225.82286,121.95965,2073600,0.3540919,38.066486,397.78198,0.09569686
212,61.4147,61.02048,49.99975,225.83136,121.96513,2073600,0.35409218,38.0667,397.79626,0.09569396
213,61.7326,61.274112,49.999172,225.83232,121.973854,2073600,0.35409248,38.06546,397.80533,0.095688656
214,61.9018,61.487328,49.99942,225.84584,121.980385,2073600,0.3540928,38.06587,397.82565,0.0956848
215,61.1573,60.783808,49.999462,225.85573,121.98914,2073600,0.3540931,38.06497,397.84433,0.09567805
216,60.9928,60.63488,49.999306,225.85095,121.989685,2073600,0.3540934,38.064358,397.83994,0.09567756
217,59.7814,59.455488,49.9998,225.85112,121.99231,2073600,0.3540937,38.063904,397.84323,0.09567564
218,62.3922,62.061632,49.99941,225.8532,121.99261,2073600,0.35409397,38.06371,397.8452,0.09567467
219,61.7378,61.376512,49.99944,225.8429,121.98736,2073600,0.35409427,38.06357,397.8297,0.09567805
220,59.6642,59.312544,49.999336,225.83533,121.98594,2073600,0.35409462,38.062893,397.8206,0.09567853
221,60.6214,60.294144,49.999714,225.84705,121.9934,2073600,0.35409492,38.062653,397.84018,0.095673226
222,59.3737,59.049664,49.999516,225.8448,121.99244,2073600,0.35409516,38.062515,397.83676,0.09567371
223,59.9857,59.663104,49.99979,225.84247,121.99292,2073600,0.3540955,38.06256,397.83517,0.09567419
224,61.4721,61.1168,49.999672,225.83841,121.992256,2073600,0.35409576,38.061905,397.83032,0.09567371
225,60.9689,60.61392,49.99961,225.84718,121.99718,2073600,0.35409606,38.061867,397.844,0.095670335
226,60.7265,60.395712,49.999744,225.83818,121.99596,2073600,0.35409635,38.061474,397.83386,0.09567178
227,58.2821,57.944064,49.99959,225.84087,121.99846,2073600,0.35409662,38.060997,397.83893,0.09566937
228,62.4332,62.089984,49.999687,225.85335,122.01126,2073600,0.35409692,38.060547,397.8643,0.09566213
229,60.6342,60.2888,49.999893,225.85175,122.00616,2073600,0.35409725,38.060696,397.8578,0.09566406
230,60.7509,60.422304,49.999577,225.83725,122.00253,2073600,0.35409757,38.06008,397.83936,0.09566695
231,60.8237,60.582688,49.999626,225.84077,122.00985,2073600,0.35409787,38.059204,397.85025,0.09566213
232,59.6271,59.285536,49.999264,225.83792,122.01153,2073600,0.35409817,38.058674,397.84872,0.09566117
233,61.9175,61.5944,49.999905,225.83678,122.01313,2073600,0.3540985,38.0582,397.8498,0.095659725
234,59.5405,59.1336,49.999744,225.8343,122.0159,2073600,0.3540988,38.05764,397.84995,0.09565827
235,60.047,59.725824,49.99955,225.84373,122.02263,2073600,0.35409907,38.057056,397.8659,0.09565297
236,62.8671,62.5104,49.999393,225.84735,122.025826,2073600,0.35409936,38.056732,397.87256,0.09565056
237,63.1129,62.672448,49.999886,225.8474,122.02646,2073600,0.3540997,38.056652,397.87375,0.09565008
