frame,cpu_ms,gpu_ms
572,164.4872,163.766688
573,170.414599,169.44544
574,167.595701,166.879232
575,172.085,170.507936
576,171.0388,170.242752
577,154.4616,152.979456
578,166.88,166.00704
579,164.7664,163.252224
580,162.1845,160.83968
581,166.1091,165.179584
582,166.7539,165.627808
583,161.4412,160.636576
584,168.9958,167.672192
585,158.4729,157.777952
586,168.685,167.299072
587,167.3741,165.831584
588,156.2681,154.919296
589,160.4068,159.199232
590,157.3909,156.082528
591,159.524299,158.367872
592,163.123301,161.99184
593,159.863299,158.928032
594,160.388101,159.01696
595,161.3303,160.260544
596,158.849299,157.625824
597,162.513801,160.847776
598,155.126299,153.855744
599,158.377901,157.304704
